ID,Text,Comment
Building.Souvy.LadderTunnel.DisplayName,Ladder Tunnel,
Building.Souvy.LeveeTunnel.DisplayName,Levee Tunnel,
Building.Souvy.UPowerLeveeTunnel.DisplayName, Universal Power Levee Tunnel,
Building.Souvy.ImpermeablePowerShaftTunnel.DisplayName,Impermeable Power Shaft Tunnel,
Souvy.Subgroup_Tunneling_WP.DisplayName,Tunneling,
Souvy.Subgroup_WhitepawsDamhouses.DisplayName,Whitepaws Damhouses,
Souvy.Ziplines_Subgroup_WP.DisplayName,Ziplines,
Souvy.Subgroup_GravityBattery_WP.DisplayName,Gravity Battery,
Building.Souvy.LeveeTunnel.Description,"Tunnel through terrain, replacing the ground with a levee. Use the layer tool to see under terrain or structures.",
Building.Souvy.LadderTunnel.Description,"Tunnel through terrain, replacing the ground with a ladder. Use the layer tool to see under terrain or structures.",
Building.Souvy.UPowerLeveeTunnel.Description,"Universal Power Levee Tunnel through terrain, replacing the ground with a Universal Power Levee. Use the layer tool to see under terrain or structures.",
Building.Souvy.ImpermeablePowerShaftTunnel.Description,"Tunnel through terrain, replacing the ground with an Impermeable Power Shaft. Use the layer tool to see under terrain or structures.",
Good.Bento_WP.DisplayName,Bento,
Good.Bento_WP.PluralDisplayName,Bentos,
Souvy.Subgroup_FlatFloodgates_Whitepaws.DisplayName,Whitepaws Flat Floodgates,
